prod_id,prod_code,prod_name,prod_description,am_price,uk_retail,manu_name,brand_name,cat_name
0,48330,Eau de Cologne Original 150ml,Eau de Cologne Original 150ml,£5.50,£33.00,4711,4711,Women's Fragrance             
0,52781,Cool Cologne Spray 30ml,Cool Cologne Spray 30ml,£0.79,£15.99,4711,4711 Ice,Women's Fragrance             
0,69037,Baseball Cap ,Baseball Cap ,£4.50,,Abercrombie & Fitch,Abercrombie & Fitch,Accessories & Other Bargains  
0,68214,Anti Perspirant Roll On 48 Cool & Dry 50ml,Anti Perspirant Roll On 48 Cool & Dry 50ml,£0.58,£2.49,Adidas,Adidas,Toiletries and Haircare       
0,68213,Anti Perspirant Roll On 48 Hr Protect 50ml,Anti Perspirant Roll On 48 Hr Protect 50ml,£0.75,£2.49,Adidas,Deep Energy,Toiletries and Haircare       
0,46211,Eau de Toilette Spray 100ml,Eau de Toilette Spray 100ml,£2.85,£15.00,Adidas,Deep Energy,Mens Fragrance                
0,51210,Eau de Toilette Spray 100ml,Eau de Toilette Spray 100ml,£2.85,£15.00,Adidas,Extreme Power,Mens Fragrance                
0,25886,Eau de Toilette Spray 100ml,Eau de Toilette Spray 100ml,£2.95,£15.00,Adidas,Ice Dive,Mens Fragrance                
0,46213,Eau de Toilette Spray 100ml,Eau de Toilette Spray 100ml,£2.85,£15.00,Adidas,Pure Game,Mens Fragrance                
0,34516,Eau de Toilette Spray 100ml,Eau de Toilette Spray 100ml,£2.95,£15.00,Adidas,Team Force,Mens Fragrance                
0,34517,Eau de Toilette Spray 100ml,Eau de Toilette Spray 100ml,£2.95,£15.00,Adidas,Victory League,Mens Fragrance                
0,68417,Body Powder 50g -unboxed-,Body Powder 50g -unboxed-,£6.50,£35.00,Agent Provocateur,Agent Provocateur,Make Up                       
0,32654,Eau de Parfum Spray 50ml,Eau de Parfum Spray 50ml,£15.25,£49.00,Agent Provocateur,Agent Provocateur,Women's Fragrance             
0,32869,Eau de Parfum Spray 30ml,Eau de Parfum Spray 30ml,£10.00,£36.00,Agent Provocateur,Agent Provocateur,Women's Fragrance             
0,53671,Mirror in Pouch ,Mirror in Pouch ,£4.50,£25.00,Agent Provocateur,Agent Provocateur,Accessories & Other Bargains  
0,36852,Natural Purse EDP Spray 25ml,Natural Purse EDP Spray 25ml,£7.95,£33.00,Agent Provocateur,Agent Provocateur,Women's Fragrance             
0,53815,Titillation - Balms 80ml Decolletage and Derriere,Titillation - Balms 80ml Decolletage and Derriere,£5.50,£45.00,Agent Provocateur,Agent Provocateur,Skincare                      
0,69463,Eau de Parfum Spray 80ml,Eau de Parfum Spray 80ml,£21.00,£65.00,Agent Provocateur,Aphrodisiaque,Women's Fragrance             
0,37537,Eau de Toilette Spray 50ml,Eau de Toilette Spray 50ml,£9.35,£38.00,Agent Provocateur,Eau Emotionnelle,Women's Fragrance             
0,53818,Eau de Toilette Spray 50ml,Eau de Toilette Spray 50ml,£11.50,£40.00,Agent Provocateur,Eau Provocateur,Women's Fragrance             
0,68425,Eau de Toilette Spray 50ml -Tester-,Eau de Toilette Spray 50ml -Tester-,£7.50,£40.00,Agent Provocateur,Eau Provocateur,Women's Fragrance             
0,68775,Eau de Parfum Spray 100ml,Eau de Parfum Spray 100ml,£13.54,£69.00,Agent Provocateur,Fatale,Women's Fragrance             
0,69182,Eau de Parfum Spray 50ml,Eau de Parfum Spray 50ml,£7.99,£49.00,Agent Provocateur,Fatale,Women's Fragrance             
