prod_id,prod_code,prod_name,prod_description,am_price,uk_retail,manu_name,brand_name,cat_name
,69240,Lipstick Rouge Edition Velvet 7.7ml Hot Pepper (#03) Matte Finish,Lipstick Rouge Edition Velvet 7.7ml Hot Pepper (#03) Matte Finish,£1.80,£8.99,Bourjois,Bourjois Paris,Lips                          
,69242,Lipstick Rouge Edition Velvet 7.7ml Peach Club (#04) Matte Finish,Lipstick Rouge Edition Velvet 7.7ml Peach Club (#04) Matte Finish,£1.80,£8.99,Bourjois,Bourjois Paris,Lips                          
,71110,Lipstick Rouge Edition Velvet 7.7ml Don^t Pink of it (#10) Matte,Lipstick Rouge Edition Velvet 7.7ml Don^t Pink of it (#10) Matte,£1.80,£8.99,Bourjois,Bourjois Paris,Lips                          
,71111,Lipstick Rouge Edition Velvet 7.7ml Grand Cru (#08) Matte Finish,Lipstick Rouge Edition Velvet 7.7ml Grand Cru (#08) Matte Finish,£1.80,£8.99,Bourjois,Bourjois Paris,Lips                          
,18738,Eau de Parfum Spray 100ml,Eau de Parfum Spray 100ml,£16.50,£70.00,Calvin Klein,Escape,Women's Fragrance             
,66335,Eau de Toilette Spray 50ml Limited Edition,Eau de Toilette Spray 50ml Limited Edition,£16.95,£37.00,DKNY Donna Karan,Be Delicious Delights Cool Swirl,Women's Fragrance             
,66485,Eau de Toilette Spray 90ml,Eau de Toilette Spray 90ml,£7.00,£35.50,David Beckham,Classic Blue,Mens Fragrance                
,47660,Eau de Toilette Spray 75ml,Eau de Toilette Spray 75ml,£7.58,£36.00,David Beckham,Homme David Beckham,Mens Fragrance                
,69826,Eau de Toilette Spray 50ml,Eau de Toilette Spray 50ml,£9.25,£38.00,Davidoff,Cool Water Wave Woman,Women's Fragrance             
,69979,Eau de Parfum Fragrance Pen 7ml GWP,Eau de Parfum Fragrance Pen 7ml GWP,£5.00,          ,Dolce & Gabbana,Dolce,Women's Fragrance             
,62542,Eau de Toilette Spray 6ml,Eau de Toilette Spray 6ml,£4.50,          ,Dolce & Gabbana,Light Blue Homme,Mens Fragrance                
,48079,Eau de Parfum Spray 125ml Body Lotion 100ml,Eau de Parfum Spray 125ml Body Lotion 100ml,£16.95,£60.00,Elizabeth Arden,5th Avenue,Gift Sets - Women             
,37993,Eau de Parfum Spray 125ml,Eau de Parfum Spray 125ml,£9.65,£55.00,Elizabeth Arden,5th Avenue After 5,Women's Fragrance             
,57338,Eau de Parfum Spray 125ml,Eau de Parfum Spray 125ml,£9.81,£55.00,Elizabeth Arden,5th Avenue NYC,Women's Fragrance             
,67480,Body Lotion Perfumed 500ml,Body Lotion Perfumed 500ml,£4.65,£20.00,Elizabeth Arden,Sunflowers,Skincare                      
,71084,Eau de Toilette Spray 100ml -Tester-,Eau de Toilette Spray 100ml -Tester-,£11.50,          ,Escada,Agua de Sol,Women's Fragrance             
,71085,Eau de Toilette Spray 100ml -Tester-,Eau de Toilette Spray 100ml -Tester-,£11.95,          ,Escada,Fiesta Carioca,Women's Fragrance             
